site_name,location_latitude,location_longitude,heading,ec_timestamp
ship_9,30.255627,-15.095814,17.9,2024-05-01 10:51:00.000 +0530
ship_9,30.251711,-15.097281,17.7,2024-05-01 10:50:00.000 +0530
ship_9,30.247801,-15.098674,17.4,2024-05-01 10:49:00.000 +0530
ship_9,30.243933,-15.099886,17,2024-05-01 10:48:00.000 +0530
ship_9,30.239985,-15.101318,17.2,2024-05-01 10:47:00.000 +0530
ship_9,30.236092,-15.102713,17.3,2024-05-01 10:46:00.000 +0530
ship_9,30.232225,-15.104084,17.7,2024-05-01 10:45:00.000 +0530
ship_9,30.228329,-15.10547,17.4,2024-05-01 10:44:00.000 +0530
ship_9,30.224503,-15.106838,16.7,2024-05-01 10:43:00.000 +0530
ship_9,30.2206,-15.108115,15.6,2024-05-01 10:42:00.000 +0530
ship_9,30.216576,-15.109383,15.9,2024-05-01 10:41:00.000 +0530
ship_9,30.212709,-15.110811,17.6,2024-05-01 10:40:00.000 +0530
ship_9,30.208883,-15.112315,17.7,2024-05-01 10:39:00.000 +0530
ship_9,30.205004,-15.113745,17.2,2024-05-01 10:38:00.000 +0530
ship_9,30.201151,-15.115121,16.8,2024-05-01 10:37:00.000 +0530
ship_9,30.19718,-15.116555,17.1,2024-05-01 10:36:00.000 +0530
ship_9,30.193226,-15.117927,17.1,2024-05-01 10:35:00.000 +0530
ship_9,30.189327,-15.119311,16.8,2024-05-01 10:34:00.000 +0530
ship_9,30.185419,-15.120656,16.7,2024-05-01 10:33:00.000 +0530
ship_9,30.181459,-15.122039,17.3,2024-05-01 10:32:00.000 +0530
ship_9,30.177542,-15.123494,17.3,2024-05-01 10:31:00.000 +0530
ship_9,30.173561,-15.124886,16.9,2024-05-01 10:30:00.000 +0530
ship_9,30.169706,-15.126266,16.4,2024-05-01 10:29:00.000 +0530
ship_9,30.16567,-15.127586,16.2,2024-05-01 10:28:00.000 +0530
ship_9,30.161764,-15.128975,16.8,2024-05-01 10:27:00.000 +0530
ship_9,30.157801,-15.130462,17.1,2024-05-01 10:26:00.000 +0530
ship_9,30.153944,-15.131961,18.1,2024-05-01 10:25:00.000 +0530
ship_9,30.15004,-15.133408,17.5,2024-05-01 10:24:00.000 +0530
ship_9,30.146067,-15.134754,16.3,2024-05-01 10:23:00.000 +0530
ship_9,30.141443,-15.136274,15.5,2024-05-01 10:22:00.000 +0530
ship_9,30.137505,-15.137611,15.6,2024-05-01 10:21:00.000 +0530
ship_9,30.133507,-15.139011,16.3,2024-05-01 10:20:00.000 +0530
ship_9,30.12966,-15.140493,17.4,2024-05-01 10:19:00.000 +0530
ship_9,30.125742,-15.141991,17.9,2024-05-01 10:18:00.000 +0530
ship_9,30.123116,-15.142959,17,2024-05-01 10:17:00.000 +0530
ship_9,30.119196,-15.144283,15.9,2024-05-01 10:16:00.000 +0530
ship_9,30.113926,-15.146016,15.2,2024-05-01 10:15:00.000 +0530
ship_9,30.110012,-15.147396,15.9,2024-05-01 10:14:00.000 +0530
ship_9,30.106045,-15.148853,16.6,2024-05-01 10:13:00.000 +0530
ship_9,30.10346,-15.149823,16.9,2024-05-01 10:12:00.000 +0530
ship_9,30.098244,-15.151685,16.8,2024-05-01 10:11:00.000 +0530
ship_9,30.094324,-15.153058,16.2,2024-05-01 10:10:00.000 +0530
ship_9,30.090387,-15.154391,16.1,2024-05-01 10:09:00.000 +0530
ship_9,30.086485,-15.155903,17,2024-05-01 10:08:00.000 +0530
ship_9,30.083832,-15.156868,16.3,2024-05-01 10:07:00.000 +0530
ship_9,30.079187,-15.158483,15.8,2024-05-01 10:06:00.000 +0530
ship_9,30.075222,-15.159791,15.6,2024-05-01 10:05:00.000 +0530
ship_9,30.071276,-15.16112,15.8,2024-05-01 10:04:00.000 +0530
ship_9,30.067316,-15.1625,16.3,2024-05-01 10:03:00.000 +0530
ship_9,30.06341,-15.163971,16.7,2024-05-01 10:02:00.000 +0530
ship_9,30.059566,-15.165478,16.6,2024-05-01 10:01:00.000 +0530
ship_9,30.055643,-15.166951,17.1,2024-05-01 10:00:00.000 +0530
ship_9,30.051712,-15.168372,16.4,2024-05-01 09:59:00.000 +0530
ship_9,30.047775,-15.169656,15.8,2024-05-01 09:58:00.000 +0530
ship_9,30.043804,-15.171004,16.1,2024-05-01 09:57:00.000 +0530
ship_9,30.039841,-15.172429,17.2,2024-05-01 09:56:00.000 +0530
ship_9,30.036009,-15.173864,17.5,2024-05-01 09:55:00.000 +0530
ship_9,30.032036,-15.175239,17.1,2024-05-01 09:54:00.000 +0530
ship_9,30.028196,-15.176692,17.1,2024-05-01 09:53:00.000 +0530
ship_9,30.024193,-15.178117,17,2024-05-01 09:52:00.000 +0530
ship_9,30.020243,-15.179451,16.7,2024-05-01 09:51:00.000 +0530
ship_9,30.016224,-15.180852,16.8,2024-05-01 09:50:00.000 +0530
ship_9,30.012211,-15.182261,17.2,2024-05-01 09:49:00.000 +0530
ship_9,30.008326,-15.183684,17.6,2024-05-01 09:48:00.000 +0530
ship_9,30.004524,-15.185054,17.3,2024-05-01 09:47:00.000 +0530
ship_9,30.000456,-15.186509,17.1,2024-05-01 09:46:00.000 +0530
ship_9,29.996456,-15.187861,16.6,2024-05-01 09:45:00.000 +0530
ship_9,29.992384,-15.189269,16.7,2024-05-01 09:44:00.000 +0530
ship_9,29.988461,-15.190681,17.1,2024-05-01 09:43:00.000 +0530
ship_9,29.984516,-15.192111,17.2,2024-05-01 09:42:00.000 +0530
ship_9,29.980532,-15.193519,16.7,2024-05-01 09:41:00.000 +0530
ship_9,29.976551,-15.194899,16.3,2024-05-01 09:40:00.000 +0530
